packet_index,strategy_id,path_id,sequence_num,fragment_id,total_fragments,send_delay_ms,arrival_time_ms,ip_id_decimal,ip_id_hex,target_packet_length,packet_length,payload_bytes,analysis_hint
0,5,0,1,0,444,0.0,0.0,53670,0xd1a6,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
1,5,2,1,1,444,0.0,0.0,56100,0xdb24,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
2,5,1,1,2,444,0.0,0.0,55253,0xd7d5,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
3,5,0,1,3,444,0.0,0.0,53669,0xd1a5,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
4,5,2,1,4,444,0.0,0.0,56097,0xdb21,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
5,5,1,1,5,444,0.0,0.0,55250,0xd7d2,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
6,5,0,1,6,444,0.0,0.0,53664,0xd1a0,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
7,5,1,1,7,444,0.0,0.0,55248,0xd7d0,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
8,5,2,1,8,444,0.0,0.0,56109,0xdb2d,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
9,5,0,1,9,444,0.0,0.0,53679,0xd1af,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
10,5,1,1,10,444,0.0,0.0,55261,0xd7dd,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
11,5,2,1,11,444,0.0,0.0,56110,0xdb2e,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
12,5,0,1,12,444,0.0,0.0,53674,0xd1aa,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
13,5,1,1,13,444,0.0,0.0,55258,0xd7da,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
14,5,2,1,14,444,0.0,0.0,56107,0xdb2b,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
15,5,1,1,15,444,0.0,0.0,55256,0xd7d8,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
16,5,2,1,16,444,0.0,0.0,56117,0xdb35,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
17,5,0,1,17,444,0.0,0.0,53687,0xd1b7,,72,32,路径序列：IP-ID标识path/片段序号，每三个path_id排列承载2 bit
